id,County,SubCounty,Ward 
1366,Nairobi,westlands,kitisuru
1367,Nairobi,westlands,parklands highridge
1368,Nairobi,westlands,karura
1369,Nairobi,westlands,kangemi
1370,Nairobi,westlands,mountain view
1371,Nairobi,dagoretti north,kilimani
1372,Nairobi,dagoretti north,kawangware
1373,Nairobi,dagoretti north,gatina
1374,Nairobi,dagoretti north,kileleshwa
1375,Nairobi,dagoretti north,kabiro
1376,Nairobi,dagoretti south,mutuini
1377,Nairobi,dagoretti south,ngando
1378,Nairobi,dagoretti south,riruta
1379,Nairobi,dagoretti south,uthiru ruthimitu
1380,Nairobi,dagoretti south,waithaka
1381,Nairobi,langata,karen
1382,Nairobi,langata,nairobi west
1383,Nairobi,langata,mugumo-ini
1384,Nairobi,langata,south-c
1385,Nairobi,langata,nyayo highrise
1386,Nairobi,kibra,laini saba
1387,Nairobi,kibra,lindi
1388,Nairobi,kibra,makina
1389,Nairobi,kibra,woodley kenyatta golf
1390,Nairobi,kibra,sarangombe
1391,Nairobi,roysambu,githurai
1392,Nairobi,roysambu,kahawa west
1393,Nairobi,roysambu,zimmerman
1394,Nairobi,roysambu,roysambu
1395,Nairobi,roysambu,kahawa
1396,Nairobi,kasarani,claycity
1397,Nairobi,kasarani,mwiki
1398,Nairobi,kasarani,kasarani
1399,Nairobi,kasarani,njiru
1400,Nairobi,kasarani,ruai
1401,Nairobi,ruaraka,baba dogo
1402,Nairobi,ruaraka,utalii
1403,Nairobi,ruaraka,mathare north
1404,Nairobi,ruaraka,lucky summer
1405,Nairobi,ruaraka,korogocho
1406,Nairobi,embakasi south,imara daima
1407,Nairobi,embakasi south,kwa njenga
1408,Nairobi,embakasi south,kwa reuben
1409,Nairobi,embakasi south,pipeline
1410,Nairobi,embakasi south,kware
1411,Nairobi,embakasi north,kariobangi north
1412,Nairobi,embakasi north,dandora area i
1413,Nairobi,embakasi north,dandora area ii
1414,Nairobi,embakasi north,dandora area iii
1415,Nairobi,embakasi north,dandora area iv
1416,Nairobi,embakasi central,kayole north
1417,Nairobi,embakasi central,kayole central
1418,Nairobi,embakasi central,kayole south
1419,Nairobi,embakasi central,komarock
1420,Nairobi,embakasi central,matopeni
1421,Nairobi,embakasi east,upper savannah
1422,Nairobi,embakasi east,lower savannah
1423,Nairobi,embakasi east,embakasi
1424,Nairobi,embakasi east,utawala
1425,Nairobi,embakasi east,mihango
1426,Nairobi,embakasi west,umoja i
1427,Nairobi,embakasi west,umoja ii
1428,Nairobi,embakasi west,mowlem
1429,Nairobi,embakasi west,kariobangi south
1430,Nairobi,makadara,makongeni
1431,Nairobi,makadara,maringo hamza
1432,Nairobi,makadara,harambee
1433,Nairobi,makadara,viwandani
1434,Nairobi,kamukunji,pumwani
1435,Nairobi,kamukunji,eastleigh north
1436,Nairobi,kamukunji,eastleigh south
1437,Nairobi,kamukunji,airbase
1438,Nairobi,kamukunji,california
1439,Nairobi,starehe,nairobi central
1440,Nairobi,starehe,ngara
1441,Nairobi,starehe,ziwani kariokor
1442,Nairobi,starehe,pangani
1443,Nairobi,starehe,landimawe
1444,Nairobi,starehe,nairobi south
1445,Nairobi,mathare,hospital
1446,Nairobi,mathare,mabatini
1447,Nairobi,mathare,huruma
1448,Nairobi,mathare,ngei
1449,Nairobi,mathare,mlango kubwa
1450,Nairobi,mathare,kiamaiko
